dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
vietnamOperations,vietnamoperations,vietnam_bombing_operations,aircraft_original,17,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,aircraft_root,18,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,airforce_group,19,decimal,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,airforce_sqdn,20,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,call_sign,21,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,flt_hours,22,int,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,mfunc,23,varchar,50,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,mfunc_desc,24,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,mission_id,25,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,num_of_acft,26,smallint,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,operation_supported,27,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,period_of_day,28,char,1,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,unit,29,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,tgt_cloud_cover,30,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,tgt_control,31,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,tgt_country,32,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,tgt_id,33,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,tgt_orig_coords,34,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,tgt_orig_coords_format,35,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,tgt_weather,36,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,additional_info,37,text,65535,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,geozone,38,char,2,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,id,39,int,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,mfunc_desc_class,40,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,num_weapons_jettisoned,41,smallint,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,num_weapons_returned,42,smallint,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,release_altitude,43,smallint,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,release_flt_speed,44,decimal,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,resultsbda,45,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,time_off_target,46,decimal,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,vietnam_bombing_operations,weapons_loaded_weight,47,int,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,weapon_info,weapon_type_weight,3,smallint,NULL,NULL,NULL,NULL,NULL
